FID	IID	PRS
ID_818	ID_818	0.00427713
ID_819	ID_819	-0.00367906
ID_820	ID_820	0.0076484
ID_821	ID_821	0.00125526
ID_822	ID_822	0.00145714
ID_823	ID_823	0.0106303
ID_824	ID_824	0.00603806
ID_825	ID_825	0.006811
ID_826	ID_826	0.00544251
ID_827	ID_827	-0.00537281
ID_828	ID_828	-0.000925648
ID_829	ID_829	-0.00429181
ID_830	ID_830	-0.00820962
ID_831	ID_831	0.000588872
ID_832	ID_832	-0.00251398
ID_833	ID_833	0.0098328
ID_834	ID_834	0.00354631
ID_835	ID_835	-0.00479545
ID_836	ID_836	-0.000729674
ID_837	ID_837	0.00281412
ID_838	ID_838	-0.00597655
ID_839	ID_839	0.00959207
ID_840	ID_840	0.00304191
ID_841	ID_841	-0.0035773
ID_842	ID_842	0.00536089
ID_843	ID_843	-0.00828198
ID_844	ID_844	-0.0012187
ID_845	ID_845	-0.00152611
ID_846	ID_846	0.0019423
ID_847	ID_847	-0.00538736
ID_848	ID_848	-0.00162483
ID_849	ID_849	0.00413655
ID_850	ID_850	0.000477077
ID_851	ID_851	0.00168854
